,countries,Type of Aid General,Value committed,Value delivered,Ratio: Delivered to committed
63,Norway,Humanitarian,0.32561470056027014,0.0,0.0
64,Norway,Military,0.6659921815118583,0.2725478516469499,0.40923581269113896
65,Poland,Financial,1.0028667931673585,0.0,0.0
66,Poland,Humanitarian,0.1753413054309915,0.0,0.0
67,Poland,Military,2.5059998819487306,2.5059998819487306,1.0
68,Portugal,Financial,0.25,0.0,0.0
69,Portugal,Humanitarian,0.0012000000000000001,0.0,0.0
70,Portugal,Military,0.08791150956215046,0.0042,0.04777531430091917
71,Romania,Humanitarian,0.007960312514608018,0.0,0.0
72,Romania,Military,0.003,0.0,0.0
73,Slovakia,Humanitarian,0.005,0.0,0.0
74,Slovakia,Military,0.22472157538614848,0.1630340558046836,0.7254935603069503
75,Slovenia,Humanitarian,0.00246428,0.0,0.0
76,Slovenia,Military,0.05882101266766318,0.03170525266766318,0.5390123568051579
77,South Korea,Humanitarian,0.09088191330343795,0.0,0.0
78,South Korea,Military,0.0035675137020428497,0.0,0.0
79,Spain,Financial,0.2,0.2,1.0
80,Spain,Humanitarian,0.10132463935924266,0.0,0.0
81,Spain,Military,0.11121871322870613,0.08906323728872426,0.8007936317836895
82,Sweden,Financial,0.1524981442837856,0.0,0.0
83,Sweden,Humanitarian,0.10780913666852486,0.0,0.0
84,Sweden,Military,0.5590936301446587,0.056920912872931544,0.1018092673640441
85,Switzerland,Humanitarian,0.202984057027575,0.040551500405515,0.19977677557211382
86,Taiwan,Humanitarian,0.06826108619830593,0.0,0.0
87,Turkey,Humanitarian,0.0004614069157947184,0.0,0.0
88,Turkey,Military,0.06419880418535127,0.016714997508719482,0.2603630662724006
89,United Kingdom,Financial,2.55488208283456,0.0,0.0
90,United Kingdom,Humanitarian,0.39777831531548297,0.0035874439461883404,0.009018701643761284
91,United Kingdom,Military,4.84323278042106,1.5505675058548465,0.32015134852139887
92,United States,Financial,15.053313403089188,0.0,0.0
93,United States,Humanitarian,9.903936223218734,0.0,0.0
94,United States,Military,37.50913792568826,6.2215399562237925,0.16586731394759544
